GPA  ma  ve  co   un	label
3.45 643 589 3.76 3.52	a
2.78 558 512 2.87 2.91	a
2.52 583 503 2.54 2.4	b
3.67 685 602 3.83 3.47	b
3.24 592 538 3.29 3.47	b
2.1 562 486 2.64 2.37	a
2.82 573 548 2.86 2.4	a
2.36 559 536 2.03 2.24	a
2.42 552 583 2.81 3.02	b
3.51 617 591 3.41 3.32	b
3.48 684 649 3.61 3.59	b
2.14 568 592 2.48 2.54	a
2.59 604 582 3.21 3.19	a
3.46 619 624 3.52 3.71	a
3.51 642 619 3.41 3.58	a
3.68 683 642 3.52 3.4	a
3.91 703 684 3.84 3.73	a
3.72 712 652 3.64 3.49	a
2.15 564 501 2.14 2.25	a	
2.48 557 549 2.21 2.37	b	
3.09 591 584 3.17 3.29	b
2.71 599 562 3.01 3.19	b
2.46 607 619 3.17 3.28	b
3.32 619 558 3.01 3.37	b
3.61 700 721 3.72 3.61	b
3.82 718 732 3.78 3.81	b
2.64 580 538 2.51 2.4	b
2.19 562 507 2.1 2.21	b
3.34 683 648 3.21 3.58	b
3.48 717 724 3.68 3.51	b
3.56 701 714 3.48 3.62	b
3.81 691 684 3.71 3.6	b
3.92 714 706 3.81 3.65	b
4 689 673 3.84 3.76	b
2.52 554 507 2.09 2.27	b	
2.71 564 543 2.17 2.35	c
3.15 668 604 2.98 3.17	c
3.22 691 662 3.28 3.47	c
2.29 573 591 2.74 3	c
2.03 568 517 2.19 2.74	c
3.14 607 624 3.28 3.37	c
3.52 651 683 3.68 3.54	c
2.91 604 583 3.17 3.28	c
2.83 560 542 3.17 3.39	c
